City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,uturoa,-16.7333,-151.4333,302.05,75,81,8.51,PF,1711757358
150,hermanus,-34.4187,19.2345,292.48,82,100,5.54,ZA,1711757359
151,udachny,66.4167,112.4,252.54,91,90,3.78,RU,1711757359
152,norcasia,5.5778,-74.8852,296.59,87,47,1.66,CO,1711757360
153,nuku'alofa,-21.1333,-175.2,298.4,89,100,9.63,TO,1711757361
154,la ronge,55.1001,-105.2842,269.27,86,100,1.54,CA,1711757361
155,lusaka,-15.4067,28.2871,292.56,68,95,2.04,ZM,1711756684
156,aktau,43.65,51.2,276.47,55,51,4.99,KZ,1711757362
157,timimoun,29.2639,0.231,294.36,16,3,2.57,DZ,1711757104
158,tazacorte,28.629,-17.9293,291.69,91,75,1.54,ES,1711757364
159,ancud,-41.8697,-73.8203,283.84,81,50,3.04,CL,1711757365
160,cookeville,36.1628,-85.5016,289.6,58,0,0.0,US,1711757146
161,tarauaca,-8.1614,-70.7656,300.75,70,98,0.63,BR,1711757320
162,fale old settlement,-9.3852,-171.2468,302.64,75,93,3.95,TK,1711757367
163,ponta delgada,37.7333,-25.6667,288.55,77,40,7.2,PT,1711757368
164,castro de rei,42.7167,-7.5667,277.24,98,76,1.31,ES,1711757369
165,tiksi,71.6872,128.8694,247.0,96,93,4.37,RU,1711757370
166,turaif,31.6725,38.6637,287.29,82,40,2.06,SA,1711757370
167,mount gambier,-37.8333,140.7667,294.34,40,1,2.16,AU,1711757371
168,pandan,14.0453,124.1694,300.01,72,50,3.83,PH,1711757372
169,jayapura,-2.5333,140.7,302.81,74,96,1.21,ID,1711757373
170,auki,-8.7676,160.7034,300.51,84,98,2.58,SB,1711757374
171,kitaibaraki,36.7833,140.75,289.96,84,0,0.45,JP,1711757080
172,prince rupert,54.3161,-130.3201,282.93,46,17,1.73,CA,1711757375
173,mersing,2.4312,103.8405,299.63,86,95,1.43,MY,1711757376
174,ust-nera,64.5667,143.2,268.49,91,100,2.17,RU,1711757377
175,gelnhausen,50.2,9.1833,283.14,94,100,0.89,DE,1711757377
176,greymouth,-42.4667,171.2,290.37,50,0,3.12,NZ,1711757344
177,celestun,20.8667,-90.4,297.92,57,0,8.32,MX,1711757379
178,ola,59.5833,151.2833,269.26,77,100,1.56,RU,1711757380
179,kavieng,-2.5744,150.7967,300.57,83,100,5.21,PG,1711757380
180,soledade,-28.8183,-52.5103,288.15,91,80,1.78,BR,1711756899
181,wynyard,-41.0,145.7167,292.22,55,55,2.49,AU,1711757382
182,nemuro,43.3236,145.575,276.89,89,60,8.4,JP,1711757383
183,sitka,57.0531,-135.33,281.09,66,100,6.17,US,1711757384
184,polyarnyy,69.1989,33.4478,262.39,99,94,2.1,RU,1711757385
185,aasiaat,68.7098,-52.8699,254.83,94,47,2.52,GL,1711757385
186,calama,-22.4667,-68.9333,290.7,49,7,3.89,CL,1711757229
187,yaren,-0.5472,166.916,301.57,81,83,6.69,NR,1711757387
188,bolotnoye,55.6717,84.3981,273.97,90,51,2.96,RU,1711757388
189,carnarvon,-24.8667,113.6333,298.34,49,36,6.78,AU,1711757388
190,nouadhibou,20.931,-17.0347,291.14,82,0,8.23,MR,1711757389
191,yadrin,55.9405,46.2062,275.78,97,96,4.31,RU,1711757390
192,cuajinicuilapa,16.4667,-98.4167,302.28,44,78,3.18,MX,1711757391
193,gaspe,48.8334,-64.4819,274.05,99,100,3.26,CA,1711757392
194,pirane,-25.7324,-59.1088,302.82,43,59,2.06,AR,1711757393
195,anadyr,64.75,177.4833,257.43,71,0,6.0,RU,1711757394
196,notodden,59.5594,9.2585,278.15,91,90,0.49,NO,1711757394
197,tazovsky,67.4667,78.7,255.27,99,81,4.07,RU,1711757395
198,vilhena,-12.7406,-60.1458,294.32,98,74,1.33,BR,1711757387
199,ballina,-28.8667,153.5667,298.03,70,59,4.37,AU,1711757397
200,inarajan village,13.2736,144.7484,303.7,85,78,6.84,GU,1711757397
201,wangaratta,-36.3667,146.3333,297.85,55,19,0.84,AU,1711757398
202,hotan,37.0997,79.9269,286.15,26,58,0.17,CN,1711757399
203,wailua homesteads,22.0669,-159.378,299.39,71,75,7.2,US,1711757400
204,swift current,50.2834,-107.8014,272.28,50,77,5.99,CA,1711757396
205,hauterive,46.0901,3.4459,280.57,58,100,4.48,FR,1711757402
206,hawaiian paradise park,19.5933,-154.9731,298.88,81,100,6.17,US,1711757402
207,qaqortoq,60.7167,-46.0333,265.13,84,2,2.39,GL,1711757403
208,thenzawl,23.3167,92.75,290.56,85,71,0.92,IN,1711757404
209,fort mcmurray,56.7268,-111.381,269.88,54,100,3.6,CA,1711757211
210,abeche,13.8292,20.8324,303.0,10,15,7.75,TD,1711757406
211,puerto lopez,4.0845,-72.956,300.78,73,98,2.36,CO,1711757406
212,gadzhiyevo,69.2551,33.3362,261.62,99,96,1.91,RU,1711757407
213,geraldton,-28.7667,114.6,287.38,94,31,2.57,AU,1711757408
214,canmore,51.0834,-115.3521,266.38,87,100,2.62,CA,1711757308
215,pisco,-13.7,-76.2167,296.18,88,0,8.75,PE,1711757113
216,kiunga,-6.1219,141.2906,298.92,91,99,0.77,PG,1711757411
217,carrigaline,51.8117,-8.3986,277.01,93,20,2.06,IE,1711757321
218,guercif,34.2257,-3.3536,286.04,57,51,4.62,MA,1711757413
219,milledgeville,33.0801,-83.2321,292.23,41,0,0.0,US,1711757385
220,ifrane,33.3333,-5.25,273.76,95,95,11.93,MA,1711757415
221,betio village,1.358,172.9211,304.17,82,62,7.47,KI,1711757416
222,sievi,63.9,24.5,273.68,98,100,3.76,FI,1711757418
223,burntisland,56.0625,-3.2318,279.69,91,0,0.51,GB,1711757419
224,jamestown,42.097,-79.2353,275.92,64,40,4.63,US,1711757167
225,flying fish cove,-10.4217,105.6791,299.97,89,100,4.12,CX,1711757421
226,sao vicente,-23.9631,-46.3919,300.25,26,48,0.95,BR,1711756921
227,enewetak,11.3474,162.3373,300.29,78,100,8.75,MH,1711757422
228,borogontsy,62.6683,131.1683,252.05,92,67,3.0,RU,1711757423
229,dudinka,69.4058,86.1778,261.86,94,100,7.15,RU,1711757409
230,gao,16.6362,1.637,304.01,14,6,4.23,ML,1711757425
231,pagar alam,-4.0167,103.2667,294.93,97,100,0.45,ID,1711757426
232,port macquarie,-31.4333,152.9167,295.53,77,80,0.91,AU,1711757427
233,acapulco de juarez,16.8634,-99.8901,299.05,78,20,7.2,MX,1711757340
234,mankono,8.0586,-6.1897,300.55,67,89,4.23,CI,1711757428
235,divrigi,39.371,38.1137,282.18,85,30,1.75,TR,1711757429
236,massakory,12.996,15.7293,305.22,8,18,6.07,TD,1711757430
237,hithadhoo,-0.6,73.0833,302.36,71,98,3.18,MV,1711757430
238,nevel'sk,46.6733,141.8633,274.63,93,100,7.7,RU,1711757204
239,berezovyy,51.6667,135.7,274.13,88,100,1.04,RU,1711757432
240,kuta,-8.7233,115.1723,301.12,94,20,1.54,ID,1711757433
241,greenville,35.6127,-77.3663,291.17,51,0,2.57,US,1711757271
242,sona,45.4388,10.8255,287.18,94,0,2.06,IT,1711757434
243,inskoy,54.4297,86.44,274.51,90,62,3.72,RU,1711757436
244,holualoa,19.6228,-155.9522,298.06,84,100,5.66,US,1711757437
245,pavlodar,52.3,76.95,277.04,93,40,5.0,KZ,1711757239
246,olinda,-8.0089,-34.8553,301.19,78,52,5.73,BR,1711757389
247,xinji,37.9028,115.2036,287.28,27,7,4.53,CN,1711757439
248,tsumeb,-19.2333,17.7167,292.72,78,91,1.89,NA,1711757440
249,carauari,-4.8828,-66.8958,298.34,93,100,1.12,BR,1711757441
250,trujillo,-8.116,-79.03,295.13,88,81,4.63,PE,1711757194
251,halifax,44.6453,-63.5724,283.09,97,100,4.47,CA,1711757375
252,tabou,4.423,-7.3528,300.42,90,93,2.1,CI,1711757444
253,kalevala,65.2,31.1667,269.31,89,95,4.02,RU,1711757444
254,port lincoln,-34.7333,135.8667,294.05,56,0,2.6,AU,1711757445
255,laguna,38.421,-121.4238,284.94,73,100,5.66,US,1711756932
256,callao,-12.0667,-77.15,295.31,83,40,6.69,PE,1711757186
257,vila franca do campo,37.7167,-25.4333,288.38,84,100,9.19,PT,1711757447
258,warmbad,-28.45,18.7333,299.94,28,9,4.8,NA,1711757448
259,lebu,-37.6167,-73.65,286.31,79,22,8.95,CL,1711757449
260,cabo san lucas,22.8909,-109.9124,300.32,36,0,5.14,MX,1711757191
261,saint-francois,46.4154,3.9054,280.84,100,0,2.57,FR,1711757450
262,kyaikkami,16.08,97.5675,300.64,62,0,0.96,MM,1711757451
263,las tablas,7.7667,-80.2833,298.8,99,100,9.6,PA,1711757452
264,santa terezinha,-29.9002,-50.0904,294.38,89,74,3.37,BR,1711757453
265,gobabis,-22.45,18.9667,293.66,62,75,3.79,NA,1711757453
266,kota kinabalu,5.9749,116.0724,300.14,83,20,1.54,MY,1711757309
267,arkhangel'sk,64.5401,40.5433,272.21,80,40,3.0,RU,1711757455
268,salima,-13.7804,34.4587,294.37,90,71,2.06,MW,1711757456
269,namibe,-15.1961,12.1522,297.68,78,98,1.75,AO,1711757457
270,kolonia,50.9333,6.95,283.69,87,40,2.06,DE,1711757457
271,novyy urgal,51.0736,132.5642,269.52,83,50,0.15,RU,1711757458
272,vicuna mackenna,-33.9197,-64.3922,296.98,50,2,4.81,AR,1711757389
273,biswan,27.5,81.0,298.74,38,84,0.78,IN,1711757460
274,turkmenbasy,40.0222,52.9552,284.92,49,8,3.96,TM,1711757461
275,port mathurin,-19.6833,63.4167,299.73,85,99,6.07,MU,1711757462
276,longyearbyen,78.2186,15.6401,255.06,71,75,5.14,SJ,1711757464
277,san julian,21.0167,-102.1667,299.4,10,6,6.76,MX,1711757465
278,aksu,41.1231,80.2644,287.75,23,83,2.28,CN,1711757465
279,massawa,15.6097,39.45,301.74,75,34,1.23,ER,1711757466
280,andovoranto,-18.95,49.1,295.93,94,37,1.44,MG,1711757467
281,taltal,-25.4,-70.4833,293.81,78,23,1.97,CL,1711757421
282,bandarbeyla,9.4942,50.8122,299.38,72,24,4.53,SO,1711757469
283,kirakira,-10.4544,161.9205,302.62,77,100,3.47,SB,1711757470
284,najran,17.4924,44.1277,292.51,45,1,1.94,SA,1711757471
285,kapuskasing,49.4169,-82.4331,268.98,86,100,2.51,CA,1711757462
286,colonia,50.9333,6.95,283.69,87,40,2.06,DE,1711757457
287,kelibia,36.8476,11.0939,289.56,75,10,9.03,TN,1711757473
288,marrakesh,31.6315,-8.0083,286.19,67,40,5.66,MA,1711757400
289,kodiak,57.79,-152.4072,280.88,61,100,2.57,US,1711757474
290,eyl,7.9803,49.8164,299.58,71,67,5.57,SO,1711757475
291,swakopmund,-22.6833,14.5333,286.47,89,15,1.86,NA,1711757476
292,mananjary,-21.2167,48.3333,296.15,93,10,1.33,MG,1711757477
293,atafu village,-8.5421,-172.5159,302.63,74,97,4.03,TK,1711757477
294,suva,-18.1416,178.4415,298.1,90,100,1.41,FJ,1711757306
295,susuman,62.7833,148.1667,264.25,90,100,3.13,RU,1711757479
296,linhares,-19.3911,-40.0722,297.26,96,94,1.15,BR,1711757286
297,porto novo,6.4965,2.6036,301.7,84,100,5.08,BJ,1711757374
298,hluti,-27.2167,31.6167,291.28,95,96,1.07,SZ,1711757481
299,lintong,34.378,109.2089,291.03,60,100,0.76,CN,1711757482
300,donghai,22.9459,115.642,297.56,78,73,1.6,CN,1711757389
301,sumbe,-11.2061,13.8437,300.28,86,100,1.73,AO,1711757484
302,den burg,53.0542,4.7972,283.68,80,100,4.12,NL,1711757485
303,istgah-e rah ahan-e garmsar,35.2346,52.3094,285.32,28,0,0.89,IR,1711757486
304,santa marta,11.2408,-74.199,301.98,67,59,8.49,CO,1711757461
305,peterhead,57.5058,-1.7981,277.84,90,35,4.42,GB,1711757488
306,haugesund,59.4138,5.268,280.29,93,100,6.69,NO,1711757490
307,wytheville,36.9484,-81.0848,287.52,41,10,0.45,US,1711757491
308,la'ie,21.6477,-157.9253,302.13,71,2,3.13,US,1711757491
309,aldinga beach,-35.2793,138.4604,303.77,36,18,1.08,AU,1711757492
310,sandnessjoen,66.0217,12.6316,274.44,77,100,6.8,NO,1711757493
311,sikasso,10.9167,-7.0,306.36,32,57,1.34,ML,1711757494
312,arkalyk,50.2486,66.9114,268.82,94,100,4.71,KZ,1711757495
313,gbongan,7.4667,4.35,299.11,87,93,2.07,NG,1711757495
314,morondava,-20.2833,44.2833,297.76,85,13,2.36,MG,1711757496
315,grosuplje,45.9556,14.6589,283.99,86,76,1.39,SI,1711757497
316,klyuchi,52.2667,79.1667,278.45,85,94,5.37,RU,1711757498
317,cooper's town,26.8667,-77.5167,294.57,54,0,6.02,BS,1711757498
318,enkhuizen,52.7,5.2833,284.82,83,100,1.79,NL,1711757499
319,kruisfontein,-34.0033,24.7314,291.42,84,69,2.37,ZA,1711757500
320,glace bay,46.1969,-59.957,285.81,99,100,9.77,CA,1711757501
321,zhanaozen,43.3,52.8,278.56,48,14,3.64,KZ,1711757502
322,gumdag,39.2061,54.5906,285.11,38,4,4.27,TM,1711757503
323,orekhovo-zuyevo,55.8108,38.9719,274.86,100,100,1.75,RU,1711757503
324,summerside,46.3959,-63.7876,286.86,99,100,6.71,CA,1711757504
325,cabedelo,-6.9811,-34.8339,300.49,85,100,5.17,BR,1711757505
326,mugia,43.1041,-9.2179,281.43,76,69,3.26,ES,1711757506
327,carbonear,47.7332,-53.2148,283.01,100,100,4.25,CA,1711757506
328,bongouanou,6.6486,-4.1992,295.84,97,100,1.18,CI,1711757507
329,petropavlovsk-kamchatsky,53.0452,158.6483,271.48,77,0,0.45,RU,1711757240
330,flin flon,54.7682,-101.865,269.14,96,100,2.95,CA,1711757509
331,mata-utu,-13.2816,-176.1745,302.53,73,58,3.47,WF,1711757510
332,whangarei,-35.7317,174.3239,291.93,38,0,5.02,NZ,1711757290
333,umba,66.6871,34.3429,260.95,95,16,2.62,RU,1711757512
334,pilar,-9.5972,-35.9567,300.11,85,49,1.55,BR,1711757002
335,vernon,50.2581,-119.2691,284.04,63,86,1.34,CA,1711757513
336,qarah bagh,34.9402,61.7759,277.22,91,99,1.81,AF,1711757514
337,manaure,11.7751,-72.4445,299.23,69,99,6.71,CO,1711757515
338,lata,40.1629,-8.3327,282.64,97,100,1.69,PT,1711757516
339,palmer,42.1584,-72.3287,279.61,51,75,6.69,US,1711757517
340,walvis bay,-22.9575,14.5053,286.53,89,5,2.25,NA,1711757518
341,weno,7.4515,151.8468,303.12,74,75,4.63,FM,1711757519
342,keetmanshoop,-26.5833,18.1333,298.57,28,4,2.36,NA,1711757520
343,hildburghausen,50.4255,10.7318,281.24,89,100,1.6,DE,1711757521
344,puerto aysen,-45.4,-72.7,278.66,99,90,2.39,CL,1711757233
345,watsa,3.0372,29.5355,293.34,68,52,1.37,CD,1711757522
346,port pirie,-33.1833,138.0167,301.2,36,11,0.81,AU,1711757523
347,crane,31.3974,-102.3501,301.56,10,98,6.08,US,1711757524
348,sao joao da barra,-21.6403,-41.0511,298.36,92,100,4.48,BR,1711757525
349,kailua-kona,19.6406,-155.9956,300.13,84,100,5.66,US,1711757526
350,port moresby,-9.4431,147.1797,302.4,74,89,1.17,PG,1711757526
351,llanes,43.4198,-4.7549,282.88,78,71,3.28,ES,1711757527
352,afaahiti,-17.75,-149.2833,304.08,76,96,7.55,PF,1711757528
353,nadym,65.5333,72.5167,257.63,95,79,2.78,RU,1711757529
354,lodja,-3.4833,23.4333,295.13,95,98,0.49,CD,1711757530
355,bandar,2.05,99.75,296.9,97,99,1.16,ID,1711757531
356,portage la prairie,49.9728,-98.2926,272.65,63,100,3.93,CA,1711757531
357,beloyarskiy,63.7119,66.6722,265.37,94,99,4.02,RU,1711757532
358,dzuunmod,48.2199,97.3744,270.44,62,71,2.74,MN,1711757533
359,al kharijah,25.4514,30.5464,292.27,46,0,3.43,EG,1711757534
360,bibiani,6.4635,-2.3194,295.6,97,100,1.3,GH,1711757535
361,luanda,-8.8368,13.2343,299.15,89,75,1.54,AO,1711756982
362,suntar,62.1444,117.6319,252.36,100,100,0.19,RU,1711757536
363,barra de santo antonio,-9.4047,-35.5072,300.59,79,51,3.7,BR,1711757537
364,ziniare,12.5822,-1.2983,306.41,15,8,2.32,BF,1711757538
